Sl No	HEI Name	Track-Id	Aishe-Id	Address	Current Cycle Number	Current CGPA	Current Grade	Date Of Declaration
230	D Y Patil Education Society Kolhapur	MHUNGN10166	U-0294	Kolhapur	3	3.53	A++	07-12-2023
231	NARSEE MONJEE INSTITUTE OF MANAGEMENT STUDIES	MHUNGN10170	U-0319	Mumbai	4	3.67	A++	28-06-2025
253	DEVI AHILYA VISHWAVIDYALAYA	MPUNGN10011	U-0270	Indore	4	3.30	A+	26-11-2019
254	DR HARISINGH GOUR VISHWAVIDYALAYA	MPUNGN10017	U-0271	Sagar	4	3.38	A+	02-06-2023
263	SAGE UNIVERSITY INDORE	MPUNGN109481	U-0916	Indore	1	3.41	A+	19-12-2023
272	MIZORAM UNIVERSITY	MZUNGN11037	U-0345	Aizawl	3	3.30	A+	28-06-2025
278	SIKSHA O ANUSANDHAN	ORUNGN10148	U-0363	Bhubaneswar	3	3.88	A++	10-05-2022
279	KALINGA INSTITUTE OF INDUSTRIAL TECHNOLOGY	ORUNGN10156	U-0356	Bhubaneswar	3	3.52	A++	02-08-2022
282	CENTURION UNIVERSITY OF TECHNOLOGY AND MANAGEMENT	ORUNGN11310	U-0353	Gajapati	2	3.37	A+	12-08-2023
293	GURU NANAK DEV UNIVERSITY	PBUNGN10009	U-0376	Amritsar	4	3.85	A++	20-12-2022
294	PANJAB UNIVERSITY	PBUNGN10033	U-0078	Chandigarh	4	3.68	A++	12-08-2023
295	PUNJABI UNIVERSITY	PBUNGN10035	U-0383	Patiala	4	3.37	A+	12-10-2023
296	DESH BHAGAT UNIVERSITY	PBUNGN100740	U-0684	Fatehgarh Sahib	1	3.27	A+	16-05-2024
300	LOVELY PROFESSIONAL UNIVERSITY	PBUNGN101717	U-0379	Phagwara	1	3.68	A++	12-08-2023
302	CHANDIGARH UNIVERSITY	PBUNGN101938	U-0747	Mohali	1	3.28	A+	09-09-2019
304	CHITKARA UNIVERSITY	PBUNGN106962	U-0373	Patiala	1	3.26	A+	07-09-2021
307	GURU KASHI UNIVERSITY	PBUNGN111202	U-0653	Bathinda	1	3.57	A++	19-05-2023
312	PONDICHERRY UNIVERSITY	PYUNGN10002	U-0369	Puducherry	5	3.43	A+	06-06-2025
314	BIRLA INSTITUTE OF TECHNOLOGY AND SCIENCE	RJUNGN10005	U-0391	Pilani	4	3.68	A++	29-11-2024
318	BANASTHALI VIDYAPITH	RJUNGN10077	U-0389	Banasthali	3	3.63	A++	11-03-2020
