university_slug,university_display_name,program,current_pd_fees_value,suppression_rule,programFees_value_if_any,feeMin,feeMax,live_url,gsc_impressions,priority_rank,VERIFIED_TOTAL_FEE,VERIFIED_PER_SEM_FEE,VERIFIED_REGISTRATION_FEE,SOURCE_NOTE,VERIFIED_DATE
sgt-university-online,SGT University Online,BCA,₹60K – ₹200K,4a,,60000,200000,https://edifyedu.in/universities/sgt-university-online/bca,0,73,,,,,
sgt-university-online,SGT University Online,MBA,₹0.5L – ₹3.0L,4a,,60000,200000,https://edifyedu.in/universities/sgt-university-online/mba,0,74,,,,,
sharda-university-online,Sharda University Online,BBA,₹0.2L – ₹1.5L,4a,,140000,154500,https://edifyedu.in/universities/sharda-university-online/bba,0,75,,,,,
sharda-university-online,Sharda University Online,BCA,₹0.2L – ₹1.5L,4a,120000,140000,154500,https://edifyedu.in/universities/sharda-university-online/bca,0,76,,,,,
shoolini-university-online,Shoolini University Online,BBA,₹0.1L – ₹1.2L,4a,,118000,130000,https://edifyedu.in/universities/shoolini-university-online/bba,0,77,,,,,
sikkim-manipal-university-online,Sikkim Manipal University Online,B.Com,₹0.1L – ₹0.8L,4a,,120000,120000,https://edifyedu.in/universities/sikkim-manipal-university-online/bcom,0,78,,,,,
sikkim-manipal-university-online,Sikkim Manipal University Online,BA,₹0.1L – ₹0.8L,4a,,120000,120000,https://edifyedu.in/universities/sikkim-manipal-university-online/ba,0,79,,,,,
sikkim-manipal-university-online,Sikkim Manipal University Online,M.Com,₹18K – ₹75K,4a,,120000,120000,https://edifyedu.in/universities/sikkim-manipal-university-online/mcom,0,80,,,,,
symbiosis-university-online,"Symbiosis School for Online and Digital Learning (SSODL), Pune Online",BBA,₹0.2L – ₹1.5L,4a,,315000,370000,https://edifyedu.in/universities/symbiosis-university-online/bba,0,81,,,,,
symbiosis-university-online,"Symbiosis School for Online and Digital Learning (SSODL), Pune Online",BCA,₹0.2L – ₹1.2L,4a,157500,315000,370000,https://edifyedu.in/universities/symbiosis-university-online/bca,0,82,,,,,
symbiosis-university-online,"Symbiosis School for Online and Digital Learning (SSODL), Pune Online",BSc,₹0.2L – ₹1.5L,4a,,315000,370000,https://edifyedu.in/universities/symbiosis-university-online/bsc,0,83,,,,,
symbiosis-university-online,"Symbiosis School for Online and Digital Learning (SSODL), Pune Online",MSc,₹35K – ₹140K,4a,,315000,370000,https://edifyedu.in/universities/symbiosis-university-online/msc,0,84,,,,,
upes-online,University of Petroleum & Energy Studies (UPES) Online,BCA,₹60K – ₹200K,4a,,175000,220000,https://edifyedu.in/universities/upes-online/bca,0,85,,,,,
uttaranchal-university-online,Uttaranchal University Online,BA,₹0.1L – ₹0.7L,4a,,94000,98000,https://edifyedu.in/universities/uttaranchal-university-online/ba,0,86,,,,,
uttaranchal-university-online,Uttaranchal University Online,BBA,₹0.2L – ₹1.0L,4a,,94000,98000,https://edifyedu.in/universities/uttaranchal-university-online/bba,0,87,,,,,
uttaranchal-university-online,Uttaranchal University Online,BCA,₹0.2L – ₹1.0L,4a,,94000,98000,https://edifyedu.in/universities/uttaranchal-university-online/bca,0,88,,,,,
vels-university-online,"Vels Institute of Science, Technology & Advanced Online",BBA,₹0.1L – ₹0.8L,4a,,60000,200000,https://edifyedu.in/universities/vels-university-online/bba,0,89,,,,,
aligarh-muslim-university-online,Aligarh Muslim University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/aligarh-muslim-university-online/ma,0,90,,,,,
andhra-university-online,Andhra University Online,MCA,,4b,,60000,200000,https://edifyedu.in/universities/andhra-university-online/mca,0,91,,,,,
anna-university-online,Anna University Online,MCA,,4b,,60000,200000,https://edifyedu.in/universities/anna-university-online/mca,0,92,,,,,
assam-don-bosco-university-online,Assam Don Bosco University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/assam-don-bosco-university-online/ma,0,93,,,,,
bharathidasan-university-online,Bharathidasan University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/bharathidasan-university-online/ma,0,94,,,,,
central-university-himachal-pradesh-online,Central University of Himachal Pradesh Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/central-university-himachal-pradesh-online/ma,0,95,,,,,
central-university-himachal-pradesh-online,Central University of Himachal Pradesh Online,MCA,,4b,,60000,200000,https://edifyedu.in/universities/central-university-himachal-pradesh-online/mca,0,96,,,,,
chandigarh-university-online,Chandigarh University Online,MA,,4b,,165000,220000,https://edifyedu.in/universities/chandigarh-university-online/ma,0,97,,,,,
dr-babasaheb-ambedkar-open-university-online,Dr. Babasaheb Ambedkar Open University Online,MA,,4b,,60000,200000,https://edifyedu.in/universities/dr-babasaheb-ambedkar-open-university-online/ma,0,98,,,,,
galgotias-university-online,Galgotias University Online,MA,,4b,,76200,86400,https://edifyedu.in/universities/galgotias-university-online/ma,0,99,,,,,
gls-university-online,GLS University Online,M.Com,,4b,,60000,200000,https://edifyedu.in/universities/gls-university-online/mcom,0,100,,,,,
gls-university-online,GLS University Online,MCA,,4b,,60000,200000,https://edifyedu.in/universities/gls-university-online/mca,0,101,,,,,
