id,name,state,on_new_list,ugc_source,ugc_name,offered,ugc_entitled,unbacked,site_claims_ugc_deb
"graphic-era-university-online","GRAPHIC ERA UNIVERSITY Online","UTTARAKHAND","YES","main #118","GRAPHIC ERA","B.Com BBA BCA MBA MCA","B.Com BBA BCA MBA MCA","","YES"
"devi-ahilya-vishwavidyalaya-online","DEVI AHILYA VISHWAVIDYALAYA Online","MADHYA PRADESH","YES","main #50","DEVI AHILYA VISHWAVIDYALAYA","MA MBA","MA MBA","","YES"
"madurai-kamaraj-university-online","MADURAI KAMARAJ UNIVERSITY Online","TAMIL NADU","YES","main #82","MADURAI KAMARAJ UNIVERSITY","B.Com BA BBA BCA M.Com MA MBA MCA","B.Com BA BBA M.Com MA MSc","BCA MBA MCA","YES"
"shanmugha-arts-science-technology-research-online","SHANMUGHA ARTS, SCIENCE, TECHNOLOGY & RESEARCH ACADEMY Online","TAMIL NADU","YES","main #84","SHANMUGHA ARTS, SCIENCE, TECHNOLOGY & RESEARCH ACADEMY","B.Com BBA BCA M.Com MA MBA MCA","B.Com BBA BCA M.Com MA MBA MCA MSc","","YES"
"university-of-mumbai-online","UNIVERSITY OF MUMBAI Online","MAHARASHTRA","YES","main #57","UNIVERSITY OF MUMBAI","BBA BCA MA MBA MCA","MA","BBA BCA MBA MCA","YES"
"university-of-jammu-online","UNIVERSITY OF JAMMU Online","JAMMU & KASHMIR","YES","main #32","UNIVERSITY OF JAMMU","M.Com MA","M.Com MA","","YES"
"shivaji-university-online","SHIVAJI UNIVERSITY Online","MAHARASHTRA","YES","main #59","SHIVAJI UNIVERSITY","M.Com MBA","M.Com MBA MSc","","YES"
"banasthali-vidyapith-online","BANASTHALI VIDYAPITH Online","RAJASTHAN","YES","main #72","BANASTHALI VIDYAPITH","B.Com BA M.Com MA MBA","B.Com BA M.Com MA MBA MSc","","YES"
"guru-gobind-singh-indraprastha-university-online","GURU GOBIND SINGH INDRAPRASTHA VISHWAVIDYALAYA Online","DELHI","YES","main #14","GURU GOBIND SINGH INDRAPRASTHA VISHWAVIDYALAYA","B.Com BBA MA","B.Com BBA MA MCA","","YES"
"bangalore-university-online","BANGALORE UNIVERSITY Online","KARNATAKA","YES","main #37","BANGALORE UNIVERSITY","B.Com M.Com MA","B.Com M.Com MA MSc","","YES"
"iiit-bangalore-online","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY Online","TELANGANA","YES","main #101","INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY","MBA","MSc","MBA","YES"
"dayalbagh-educational-institute-online","DAYAL BAGH EDUCATIONAL INSTITUTE Online","UTTAR PRADESH","YES","main #111","DAYAL BAGH EDUCATIONAL INSTITUTE","B.Com BA BBA M.Com MA","B.Com BA BBA M.Com MA","","YES"
"adichunchanagiri-university-online","ADICHUNCHANAGIRI UNIVERSITY Online","KARNATAKA","YES","main #46","ADICHUNCHANAGI RI UNIVERSITY","MBA","MBA","","YES"
"bharath-university-online","BHARATH INSTITUTE OF HIGHER EDUCATION AND RESEARCH Online","TAMIL NADU","YES","main #79","BHARATH INSTITUTE OF HIGHER EDUCATION AND RESEARCH","B.Com BA M.Com","B.Com BA M.Com","","YES"
"chhatrapati-shahu-ji-maharaj-university-online","CHATRAPATI SHAHUJI MAHARAJ UNIVERSITY Online","UTTAR PRADESH","YES","main #114","CHATRAPATI SHAHUJI MAHARAJ UNIVERSITY","B.Com BBA BCA M.Com MBA MCA","B.Com BBA BCA M.Com MBA MCA","","YES"
"deen-dayal-upadhyay-gorakhpur-university-online","DEEN DAYAL UPADHYAY GORAKHPUR UNIVERSITY Online","UTTAR PRADESH","YES","main #117","DEEN DAYAL UPADHYAY GORAKHPUR UNIVERSITY","B.Com BBA M.Com MA MBA MSc","B.Com BA BBA M.Com MA MBA MSc","","YES"
"guru-jambheshwar-university-online","GURU JAMBHESHWAR UNIVERSITY OF SCIENCE AND TECHNOLOGY Online","HARYANA","YES","main #24","GURU JAMBHESHWAR UNIVERSITY OF SCIENCE AND TECHNOLOGY","B.Com M.Com MA MBA","B.Com M.Com MA MBA MCA MSc","","YES"
"maharshi-dayanand-university-online","MAHARSHI DAYANAND UNIVERSITY Online","HARYANA","YES","main #26","MAHARSHI DAYANAND UNIVERSITY","BA M.Com MA","BA M.Com MA MSc","","YES"
"mahatma-jyotiba-phule-rohilkhand-university-online","MAHATMA JYOTIBA PHULE ROHILKHAND UNIVERSITY Online","UTTAR PRADESH","YES","main #116","MAHATMA JYOTIBA PHULE ROHILKHAND UNIVERSITY","BA M.Com MA","BA M.Com MA MSc","","YES"
"mats-university-online","MATS UNIVERSITY Online","CHHATTISGARH","YES","main #8","MATS UNIVERSITY","B.Com BBA BCA MBA MCA","B.Com BBA BCA MBA MCA","","YES"
"meenakshi-academy-higher-education-online","MEENAKSHI ACADEMY OF HIGHER EDUCATION AND RESEARCH Online","TAMIL NADU","YES","main #96","MEENAKSHI ACADEMY OF HIGHER EDUCATION AND RESEARCH","B.Com BA MA","B.Com BA MA","","YES"
"mody-university-online","MODY UNIVERSITY OF SCIENCE AND TECHNOLOGY Online","RAJASTHAN","YES","main #73","MODY UNIVERSITY OF SCIENCE AND TECHNOLOGY","B.Com BA BCA M.Com MA MBA MCA","B.Com BA BCA M.Com MA MBA MCA","","YES"
"sage-university-online","SAGE UNIVERSITY Online","MADHYA PRADESH","YES","main #51","SAGE UNIVERSITY","BBA BCA M.Com MA MBA","BBA BCA M.Com MA MBA MCA MSc","","YES"
"shree-guru-gobind-singh-tricentenary-university-online","SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY Online","HARYANA","YES","main #29","SHREE GURU GOBIND SINGH TRICENTENARY UNIVERSITY","B.Com BBA BCA MBA MCA","B.Com BBA BCA MBA MCA","","YES"
"assam-down-town-university-online","Assam Down Town University Online","Assam","YES","main #6","ASSAM DOWN TOWN UNIVERSITY","MCA","BBA BCA MBA MCA","","YES"
"ignou-online","Indira Gandhi National Open University (IGNOU) Online","Delhi","NO","","","B.Com BA BCA M.Com MA MBA MCA","","B.Com BA BCA M.Com MA MBA MCA","YES"
