url,university,programme,slug,title-cased-name-emitted
"/universities/gls-university-online/bca/artificial-intelligence-machine-learning","gls-university-online","BCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning"
"/universities/gls-university-online/bca/web-development","gls-university-online","BCA","web-development","Web Development"
"/universities/gls-university-online/mba/hr-management","gls-university-online","MBA","hr-management","Hr Management"
"/universities/guru-ghasidas-vishwavidyalaya-online/mba/hr-management","guru-ghasidas-vishwavidyalaya-online","MBA","hr-management","Hr Management"
"/universities/guru-ghasidas-vishwavidyalaya-online/mca/computer-science-and-information-technology","guru-ghasidas-vishwavidyalaya-online","MCA","computer-science-and-information-technology","Computer Science And Information Technology"
"/universities/guru-nanak-dev-university-online/mca/general-computer-applications","guru-nanak-dev-university-online","MCA","general-computer-applications","General Computer Applications"
"/universities/hindustan-institute-technology-online/mba/hospital-management","hindustan-institute-technology-online","MBA","hospital-management","Hospital Management"
"/universities/hindustan-institute-technology-online/mba/hr-management","hindustan-institute-technology-online","MBA","hr-management","Hr Management"
"/universities/hindustan-institute-technology-online/mba/logistics-and-supply-chain-management","hindustan-institute-technology-online","MBA","logistics-and-supply-chain-management","Logistics And Supply Chain Management"
"/universities/hindustan-institute-technology-online/mba/marketing","hindustan-institute-technology-online","MBA","marketing","Marketing"
"/universities/hindustan-institute-technology-online/mba/operations","hindustan-institute-technology-online","MBA","operations","Operations"
"/universities/jagannath-university-online/mba/hr-management","jagannath-university-online","MBA","hr-management","Hr Management"
"/universities/jagannath-university-online/mba/it-management","jagannath-university-online","MBA","it-management","It Management"
"/universities/jain-university-online/bba/data-science-analytics","jain-university-online","BBA","data-science-analytics","Data Science Analytics"
"/universities/jain-university-online/bca/data-science-analytics","jain-university-online","BCA","data-science-analytics","Data Science Analytics"
"/universities/jain-university-online/mba/hr-management","jain-university-online","MBA","hr-management","Hr Management"
"/universities/jain-university-online/mca/artificial-intelligence","jain-university-online","MCA","artificial-intelligence","Artificial Intelligence"
"/universities/jain-university-online/mca/computer-science-and-information-technology","jain-university-online","MCA","computer-science-and-information-technology","Computer Science And Information Technology"
"/universities/jain-university-online/mca/cyber-security","jain-university-online","MCA","cyber-security","Cyber Security"
"/universities/jain-university-online/mca/data-analytics","jain-university-online","MCA","data-analytics","Data Analytics"
"/universities/jain-university-online/mca/devops","jain-university-online","MCA","devops","Devops"
"/universities/jain-university-online/mca/natural-language-processing-large-language-models-development","jain-university-online","MCA","natural-language-processing-large-language-models-development","Natural Language Processing Large Language Models Development"
"/universities/jamia-millia-islamia-online/mba/finance","jamia-millia-islamia-online","MBA","finance","Finance"
"/universities/jamia-millia-islamia-online/mba/hr-management","jamia-millia-islamia-online","MBA","hr-management","Hr Management"
"/universities/jamia-millia-islamia-online/mba/marketing","jamia-millia-islamia-online","MBA","marketing","Marketing"
"/universities/jamia-millia-islamia-online/mba/operations","jamia-millia-islamia-online","MBA","operations","Operations"
"/universities/kalasalingam-university-online/mba/hr-management","kalasalingam-university-online","MBA","hr-management","Hr Management"
"/universities/karnataka-state-open-university-online/bba/supply-chain","karnataka-state-open-university-online","BBA","supply-chain","Supply Chain"
"/universities/karnataka-state-open-university-online/mba/human-resources","karnataka-state-open-university-online","MBA","human-resources","Human Resources"
"/universities/karnataka-state-open-university-online/mba/operations","karnataka-state-open-university-online","MBA","operations","Operations"
"/universities/karunya-university-online/mba/business-analytics","karunya-university-online","MBA","business-analytics","Business Analytics"
"/universities/karunya-university-online/mba/entrepreneurship","karunya-university-online","MBA","entrepreneurship","Entrepreneurship"
"/universities/karunya-university-online/mba/human-resources","karunya-university-online","MBA","human-resources","Human Resources"
"/universities/karunya-university-online/mba/logistics-and-supply-chain-management","karunya-university-online","MBA","logistics-and-supply-chain-management","Logistics And Supply Chain Management"
"/universities/karunya-university-online/mba/marketing","karunya-university-online","MBA","marketing","Marketing"
"/universities/kl-university-online/mba/hr-management","kl-university-online","MBA","hr-management","Hr Management"
"/universities/kl-university-online/mca/cloud-computing","kl-university-online","MCA","cloud-computing","Cloud Computing"
"/universities/kl-university-online/mca/cyber-security","kl-university-online","MCA","cyber-security","Cyber Security"
"/universities/lovely-professional-university-online/bba/banking-and-finance","lovely-professional-university-online","BBA","banking-and-finance","Banking And Finance"
"/universities/lovely-professional-university-online/bba/fin-tech","lovely-professional-university-online","BBA","fin-tech","Fin Tech"
"/universities/lovely-professional-university-online/bba/logistics-and-supply-chain-management","lovely-professional-university-online","BBA","logistics-and-supply-chain-management","Logistics And Supply Chain Management"
"/universities/lovely-professional-university-online/bba/retail-and-e-commerce","lovely-professional-university-online","BBA","retail-and-e-commerce","Retail And E Commerce"
"/universities/lovely-professional-university-online/bca/ai","lovely-professional-university-online","BCA","ai","Ai"
"/universities/lovely-professional-university-online/mba/hr-management","lovely-professional-university-online","MBA","hr-management","Hr Management"
"/universities/lovely-professional-university-online/mba/it-management","lovely-professional-university-online","MBA","it-management","It Management"
"/universities/lovely-professional-university-online/mba/operations","lovely-professional-university-online","MBA","operations","Operations"
"/universities/lovely-professional-university-online/mba/supply-chain-management","lovely-professional-university-online","MBA","supply-chain-management","Supply Chain Management"
"/universities/maharishi-markandeshwar-university-online/bba/banking","maharishi-markandeshwar-university-online","BBA","banking","Banking"
"/universities/maharishi-markandeshwar-university-online/mba/hr-management","maharishi-markandeshwar-university-online","MBA","hr-management","Hr Management"
"/universities/maharishi-markandeshwar-university-online/mba/marketing","maharishi-markandeshwar-university-online","MBA","marketing","Marketing"
"/universities/mahatma-gandhi-university-online/mba/hr-management","mahatma-gandhi-university-online","MBA","hr-management","Hr Management"
"/universities/mahatma-gandhi-university-online/mba/operations","mahatma-gandhi-university-online","MBA","operations","Operations"
"/universities/manav-rachna-online/bba/digital","manav-rachna-online","BBA","digital","Digital"
"/universities/manav-rachna-online/mba/hr-management","manav-rachna-online","MBA","hr-management","Hr Management"
"/universities/manav-rachna-online/mca/cyber-security","manav-rachna-online","MCA","cyber-security","Cyber Security"
"/universities/manipal-university-jaipur-online/mba/hr-management","manipal-university-jaipur-online","MBA","hr-management","Hr Management"
"/universities/manipal-university-jaipur-online/mba/operations","manipal-university-jaipur-online","MBA","operations","Operations"
"/universities/manipal-university-jaipur-online/mba/retail","manipal-university-jaipur-online","MBA","retail","Retail"
"/universities/manonmaniam-sundaranar-university-online/mba/finance","manonmaniam-sundaranar-university-online","MBA","finance","Finance"
