university,programme,spec_slug,currently_emitted_name,verified_name,page_url
"dy-patil-university-online","MBA","intl-business","Intl Business","","https://edifyedu.in/universities/dy-patil-university-online/mba/intl-business"
"dy-patil-university-online","MBA","logistics-scm","Logistics Scm","","https://edifyedu.in/universities/dy-patil-university-online/mba/logistics-scm"
"dy-patil-university-online","MBA","retail","Retail","","https://edifyedu.in/universities/dy-patil-university-online/mba/retail"
"dy-patil-university-online","MBA","sales-mktg","Sales Mktg","","https://edifyedu.in/universities/dy-patil-university-online/mba/sales-mktg"
"ganpat-university-online","BBA","ib","Ib","","https://edifyedu.in/universities/ganpat-university-online/bba/ib"
"ganpat-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/ganpat-university-online/mba/hr-management"
"gla-university-online","MBA","banking-financial-services","Banking Financial Services","","https://edifyedu.in/universities/gla-university-online/mba/banking-financial-services"
"gla-university-online","MBA","business-analytics","Business Analytics","","https://edifyedu.in/universities/gla-university-online/mba/business-analytics"
"gls-university-online","BBA","finance","Finance","","https://edifyedu.in/universities/gls-university-online/bba/finance"
"gls-university-online","BBA","human-resource-management","Human Resource Management","","https://edifyedu.in/universities/gls-university-online/bba/human-resource-management"
"gls-university-online","BBA","international-business","International Business","","https://edifyedu.in/universities/gls-university-online/bba/international-business"
"gls-university-online","BBA","marketing","Marketing","","https://edifyedu.in/universities/gls-university-online/bba/marketing"
"gls-university-online","BBA","public","Public","","https://edifyedu.in/universities/gls-university-online/bba/public"
"gls-university-online","BCA","artificial-intelligence-machine-learning","Artificial Intelligence Machine Learning","","https://edifyedu.in/universities/gls-university-online/bca/artificial-intelligence-machine-learning"
"gls-university-online","BCA","web-development","Web Development","","https://edifyedu.in/universities/gls-university-online/bca/web-development"
"gls-university-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/gls-university-online/mba/hr-management"
"guru-ghasidas-vishwavidyalaya-online","MBA","hr-management","HR Management","","https://edifyedu.in/universities/guru-ghasidas-vishwavidyalaya-online/mba/hr-management"
"guru-ghasidas-vishwavidyalaya-online","MCA","computer-science-and-information-technology","Computer Science And Information Technology","","https://edifyedu.in/universities/guru-ghasidas-vishwavidyalaya-online/mca/computer-science-and-information-technology"
"guru-nanak-dev-university-online","MCA","general-computer-applications","General Computer Applications","","https://edifyedu.in/universities/guru-nanak-dev-university-online/mca/general-computer-applications"
"hindustan-institute-technology-online","MBA","hospital-management","Hospital Management","","https://edifyedu.in/universities/hindustan-institute-technology-online/mba/hospital-management"
